car_model,car_class,car_type,body,capacity,manufacturer,price
Fusilade,Sports,Civilian car,2-door coupe,2 (driver and passenger),Schyster,36000
GB200,Sports,Civilian car,2-door rally/sports car,2 (driver and passenger),Vapid,940000
Hotring Sabre,Sports,Civilian car,2-door stock-racing car,2 (driver and passenger),Declasse,830000
Imorgon,Sports,Civilian car,2-door sports car,2 (driver and passenger),Overflod,2165000
Issi Sport,Sports,Civilian car,2-door compact,2 (driver and passenger),Weeny,897000
Itali RSX,Sports,Civilian car,2-door berlinetta,2 (driver and passenger),Grotti,3465000
Jester (Racecar),Sports,Civilian car,Two-door racing car,2 (driver and passenger),Dinka,350000
Jester Classic,Sports,Civilian car,2-door coupe,2 (driver and passenger),Dinka,790000
Kuruma (Armored),Sports,Armored civilian car,Four-door armored sedan,4 (driver and three passengers),Karin,698250
Komoda,Sports,Civilian car,4-door saloon,4 (driver and 3 passengers),Lampadati,1700000
Lynx,Sports,Civilian car,2-door sports coupe,2 (driver and passenger),Ocelot,1735000
Massacro,Sports,Civilian car,2-door coupe,2 (driver and passenger),Dewbauchee,275000
Massacro (Racecar),Sports,Race car,2-door coupe,2 (driver and passenger),Dewbauchee,385000
Neo,Sports,Civilian car,2-door sports car,2 (driver and passenger),Vysser,1875000
Neon,Sports,Civilian car,Electric sports car,4 (driver and three passengers),Pfister,1500000
Omnis,Sports,Civilian car,2-door compact rally car,2 (driver and passenger),Obey,701000
Paragon R,Sports,Civilian car,2-door luxury coupé,2 (driver and passenger),Enus,905000
Pariah,Sports,Civilian car,Sports car,2 (driver and passenger),Ocelot,1420000
Penumbra,Sports,Civilian car,2-door coupe,2 (driver and passenger),Maibatsu,24000
Penumbra FF,Sports,Civilian car,2-door coupe,2 (driver and passenger),Maibatsu,1380000
Raiden,Sports,Civilian vehicle,5-door liftback,4 (driver and three passengers),Coil,1375000
Rapid GT,Sports,Civilian car,2-door coupé#2-door roadster,2 (driver and passenger),Dewbauchee,132000
Raptor,Sports,Civilian vehicle,Roadster trike,2 (driver and passenger),BF,648000
Revolter,Sports,Civilian car,4-door sports sedan,4 (driver and three passengers),Ubermacht,1610000
Ruston,Sports,Civilian car,2-door sports car,2 (driver and passenger),Hijak,430000
Schafter LWB,Sports,Civilian car,4-door sedan,4 (driver and three passengers),Benefactor,208000
Schafter V12,Sports,Civilian car,4-door sedan,4 (driver and three passengers),Benefactor,116000
Schwartzer,Sports,Civilian car,2-door coupe,2 (driver and passenger),Benefactor,80000
Schlagen GT,Sports,Civilian car,2-door sports car,2 (driver and passenger),Benefactor,1300000
Sentinel Classic,Sports,Civilian vehicle,2-door coupe,2 (driver and passenger),Ubermacht,650000
Seven-70,Sports,Sports car,2-door coupe,2 (driver and passenger),Dewbauchee,695000
Specter,Sports,Civilian car,2-door coupe,2 (driver and passenger),Dewbauchee,599000
Specter Custom,Sports,Civilian car,2-door coupe,2 (driver and passenger),Dewbauchee,252000
Streiter,Sports,Civilian vehicle,Off-road station wagon,4 (driver and three passengers),Benefactor,500000
Sugoi,Sports,Civilian car,5-door hatchback,4 (driver and 3 passengers),Dinka,1224000
Sultan Classic,Sports,Civilian car,4-door sports sedan,4 (driver and 3 passengers),Karin,1718000
V-STR,Sports,Civilian car,4-door sedan,4 (driver and three passengers),Albany,1285000
Verlierer,Sports,Civilian vehicle,2-door sports car,2 (driver and passenger),Bravado,695000
Veto Modern,Sports,Racing car,Go-kart,1 (driver),Dinka,995000
Tropos Rallye,Sports,Civilian car,2-door rally car,2 (driver and passenger),Lampadati,816000
Apocalypse ZR380,Sports,Civilian car,2-door sports car,2 (driver and passenger),Annis,2138640
Future Shock ZR380,Sports,Civilian car,2-door sports car,2 (driver and passenger),Annis,2138640
Nightmare ZR380,Sports,Civilian car,2-door sports car,2 (driver and passenger),Annis,2138640
190z,Sports Classics,Civilian car,2-door coupe,2 (driver and passenger),Karin,900000
Ardent,Sports Classics,Civilian vehicle,2-door coupe,2 (driver and passenger),Ocelot,1150000
Casco,Sports Classics,Civilian car,2-door classic grand tourer,2 (driver and passenger),Lampadati,904400
Cheburek,Sports Classics,Civilian car,4-door sedan,4 (driver and three passengers),RUNE,145000
Cheetah Classic,Sports Classics,Civilian car,Two-door sports car,2 (driver and passenger),Grotti,865000
Coquette Classic,Sports Classics,Civilian car,2-door sports car,2 (driver and passenger),Invetero,395000
Dynasty,Sports Classics,Civilian car,4-door vintage saloon,4 (driver and three passenger),Weeny,450000
Fagaloa,Sports Classics,Civilian car,2-door station wagon,2 (driver and passenger),Vulcar,335000
Fränken Stange,Sports Classics,Civilian car,Hot rod,4 (driver and three passengers),Albany,550000
GT500,Sports Classics,Civilian car,2-door Berlinetta coupe,2 (driver and passenger),Grotti,785000
Infernus Classic,Sports Classics,Civilian car,2-door classic sports car,2 (driver and passenger),Pegassi,915000
JB 700,Sports Classics,Civilian car,2-door sports car,2 (driver and passenger),Dewbauchee,475000
JB 700W,Sports Classics,Civilian car,2-door sports car,2 (driver and passenger),Dewbauchee,1470000
Michelli GT,Sports Classics,Civilian car,2-door coupe,2 (driver and passenger),Lampadati,1225000
Monroe,Sports Classics,Civilian car,2-door sports car,2 (driver and passenger),Pegassi,490000
Nebula Turbo,Sports Classics,Civilian car,2-door sedan,2 (driver and passenger),Vulcar,797000
Peyote Custom,Sports Classics,Civilian car,2-door coupe,2 (driver and passenger),Vapid,620000
Pigalle,Sports Classics,Civilian car,2-door coupe,2 (driver and passenger),Lampadati,400000
Rapid GT Classic,Sports Classics,Civilian vehicle,Two-door grand tourer,2 (driver and passenger),Dewbauchee,885000
Retinue,Sports Classics,Civilian car,2-door vintage coupe,2 (driver and passenger),Vapid,615000
Retinue Mk II,Sports Classics,Civilian car,2-door coupe,2 (driver and passenger),Vapid,1620000
Roosevelt,Sports Classics,Civilian car,4-door limousine,"6 (driver, three passengers, two on sides)",Albany,750000
Roosevelt Valor,Sports Classics,Civilian car,4-door limousine,"6 (driver, three passengers, two on sides)",Albany,982000
Savestra,Sports Classics,Civilian car,2-door vintage coupe,2 (driver and passenger),Annis,990000
Stinger GT,Sports Classics,Civilian car,2-door grand touring coupé,2 (driver and passenger),Grotti,875000
Stirling GT,Sports Classics,Civilian car,2-door coupe,2 (driver and passenger),Benefactor,975000
Stromberg,Sports Classics,Customized civilian vehicle,Amphibious sports car,2 (driver and passenger),Ocelot,3185350
Swinger,Sports Classics,Civilian car,2-door racing car,2 (driver and passenger),Ocelot,909000
Toreador,Sports Classics,Customized civilian car,Amphibious sports car,4 (driver and three passengers),Pegassi,3660000
Torero,Sports Classics,Civilian vehicle,2-door coupe,2 (driver and passenger),Pegassi,998000
Tornado Custom,Sports Classics,Civilian car,2-door lowrider,2 (driver and passenger),Declasse,375000
Tornado Rat Rod,Sports Classics,Civilian vehicle,Custom hotrod,2 (driver and passenger),Declasse,378000
Turismo Classic,Sports Classics,Civilian car,2-door sports car,2 (driver and passenger),Grotti,705000
Viseris,Sports Classics,Civilian car,2-door sports car,2 (driver and passenger),Lampadati,875000
Zion Classic,Sports Classics,Civilian car,2-door coupe,2 (driver and passenger),Ubermacht,812000
Asea,Sedans,Civilian car,4-door compact sedan,4 (driver and three passengers),Declasse,12000
Asterope,Sedans,Civilian car,4-door sedan,4 (driver and three passengers),Karin,26000
Cognoscenti (Armored),Sedans,Civilian car,4-door armored sedan,4 (driver and three passengers),Enus,558000
Cognoscenti 55,Sedans,Civilian car,4-Door Sedan,4 (driver and three passengers),Enus,154000
Cognoscenti 55 (Armored),Sedans,Civilian car,4-Door armored sedan,4 (driver and three passengers),Enus,396000
Fugitive,Sedans,Civilian car,4-door sedan,4 (driver and three passengers),Cheval,24000
Glendale Custom,Sedans,Civilian car,Custom 4-door sedan,4 (driver and three passengers),Benefactor,520000
Primo Custom,Sedans,Civilian car,Four-door sedan,4 (driver and three passengers),Albany,400000
Schafter LWB (Armored),Sedans,Civilian car,4-door armored sedan,4 (driver and three passengers),Benefactor,438000
Schafter V12 (Armored),Sedans,Civilian car,4-door armored sedan,4 (driver and three passengers),Benefactor,325000
Stanier,Sedans,Civilian car,4-door sedan,4 (driver and three passengers),Vapid,10000
Surge,Sedans,Civilian car,4-door compact sedan,4 (driver and three passengers),Cheval,38000
Tailgater,Sedans,Civilian car,4-door sedan,4 (driver and three passengers),Obey,55000
Turreted Limo,Sedans,Civilian vehicle,4-door armed limousine,"5 (driver, gunner and three passengers)",Benefactor,1650000
Warrener,Sedans,Civilian car,4-door sedan,4 (driver and three passengers),Vulcar,120000
Buccaneer Custom,Muscle,Civilian car,2-door coupé/muscle car,2 (driver and passenger),Albany,390000
Chino,Muscle,Civilian car,2-door coupe/muscle car,2 (driver and passenger),Vapid,225000
Chino Custom,Muscle,Civilian car,2-door coupe/muscle car,2 (driver and passenger),Vapid,180000
Clique,Muscle,Civilian car,2-door vintage coupe,2 (driver and passenger),Vapid,909000
Coquette BlackFin,Muscle,Civilian car,2-door vintage sports car,2 (driver and passenger),Invetero,695000
Deviant,Muscle,Civilian car,2-door hardtop,2 (driver and passenger),Schyster,512000
Dominator,Muscle,Civilian car,2-door muscle car,2 (driver and passenger),Vapid,35000
Dominator GTX,Muscle,Civilian car,2-door muscle car,2 (driver and passenger),Vapid,725000
Apocalypse Dominator,Muscle,Civilian car,Custom 2-door muscle car,2 (driver and passenger),Vapid,1132000
Future Shock Dominator,Muscle,Civilian car,Custom 2-door muscle car,2 (driver and passenger),Vapid,1132000
Nightmare Dominator,Muscle,Civilian car,Custom 2-door muscle car,2 (driver and passenger),Vapid,1132000
Duke O'Death,Muscle,Armored civilian car,2-door muscle car,2 (driver and passenger),Imponte,279000
Beater Dukes,Muscle,Civilian car,2-door muscle car,2 (driver and passenger),Imponte,378000
Ellie,Muscle,Civilian car,2-door muscle car,2 (driver and passenger),Vapid,565000
Faction Custom,Muscle,Civilian car,2-door muscle car,2 (driver and passenger),Willard,335000
Faction Custom Donk,Muscle,Civilian car,Hi-rider,2 (driver and passenger),Willard,695000
Gauntlet,Muscle,Civilian car,2-door muscle car,2 (driver and passenger),Bravado,32000
Gauntlet Classic,Muscle,Civilian car,2-door muscle car,2 (driver and passenger),Bravado,615000
Gauntlet Classic Custom,Muscle,Civilian car,2-door muscle car,2 (driver and passenger),Bravado,815000
Gauntlet Hellfire,Muscle,Civilian car,2-door muscle car,2 (driver and passenger),Bravado,745000
Apocalypse Impaler,Muscle,Civilian car,Custom 2-door muscle car,2 (driver and passenger),Declasse,1209500
Future Shock Impaler,Muscle,Civilian car,Custom 2-door muscle car,2 (driver and passenger),Declasse,1209500
Nightmare Impaler,Muscle,Civilian car,Custom 2-door muscle car,2 (driver and passenger),Declasse,1209500
Apocalypse Imperator,Muscle,Civilian car,Custom 2-door muscle car,2 (driver and passenger),Vapid,2284940
Future Shock Imperator,Muscle,Civilian car,Custom 2-door muscle car,2 (driver and passenger),Vapid,2284940
Nightmare Imperator,Muscle,Civilian car,Custom 2-door muscle car,2 (driver and passenger),Vapid,2284940
Lurcher,Muscle,Civilian car,4-door hearse,2 (driver and passenger),Albany,650000
Manana Custom,Muscle,Civilian car,2-door coupé/muscle car,2 (driver and passenger),Albany,925000
Moonbeam Custom,Muscle,Civilian van,4-door minivan,4 (driver and three passengers),Declasse,370000
Nightshade,Muscle,Civilian vehicle,2-door muscle car,2 (driver and passenger),Imponte,585000
Peyote Gasser,Muscle,Civilian car,Custom hotrod/gasser,2 (driver and passenger),Vapid,805000
Rat-Loader,Muscle,Civilian truck,2-door pickup truck,2 (driver and passenger),Bravado,6000
Rat-Truck,Muscle,Civilian truck,2-door pickup truck,2 (driver and passenger),Bravado,37500
Ruiner 2000,Muscle,Civilian car,Two-door modified muscle car,2 (driver and passenger),Imponte,5745600
Sabre Turbo Custom,Muscle,Civilian car,2-door lowrider-style muscle car,2 (driver and passenger),Declasse,490000
Slamvan Custom,Muscle,Civilian pick-up,Custom pick-up truck,2 (driver and passenger),Vapid,415000
Tulip,Muscle,Civilian car,4-door hardtop,4 (driver and three passengers),Declasse,718000
Vamos,Muscle,Civilian car,2-door coupe,2 (driver and passenger),Declasse,596000
Virgo Classic Custom,Muscle,Civilian car,Two-door lowrider,2 (driver and passenger),Dundreary,240000
Voodoo Custom,Muscle,Civilian car,2-door lowrider,2 (driver and passenger),Declasse,420000
Drift Yosemite,Muscle,Civilian car,2-door custom muscle car,2 (driver and passenger),Declasse,1308000
Cognoscenti Cabrio,Coupes,Civilian car,2-door convertible,2 (driver and passenger),Enus,185000
Exemplar,Coupes,Civilian car,4-door coupé,4 (driver and three passengers),Dewbauchee,205000
Felon,Coupes,Civilian car,4-door coupé,4 (driver and three passengers),Lampadati,100000
Felon GT,Coupes,Civilian car,2-door convertible,2 (driver and passenger),Lampadati,95000
Jackal,Coupes,Civilian car,4-door saloon/sedan,4 (driver and three passengers),Ocelot,60000
Oracle,Coupes,Civilian car,4-door sedan,4 (driver and three passengers),Ubermacht,80000
Windsor Drop,Coupes,Civilian car,4-door luxury convertible,4 (driver and three passengers),Enus,900000
Zion,Coupes,Civilian car,2-door coupe,2 (driver and passenger),Ubermacht,50000
Zion Cabrio,Coupes,Civilian car,2-door convertible,2 (driver and passenger),Ubermacht,65000
Asbo,Compacts,Civilian car,3-door hatchback,2 (driver and passenger),Maxwell,408000
Blista Kanjo,Compacts,Civilian car,3-door hatchback,2 (driver and passenger),Dinka,580000
Brioso R/A,Compacts,Civilian car,2-door compact car,2 (driver and passenger),Grotti,155000
Apocalypse Issi,Compacts,Civilian car,Custom 2-door compact,2 (driver and passenger),Weeny,1089000
Future Shock Issi,Compacts,Civilian car,Custom 2-door compact,2 (driver and passenger),Weeny,1089000
Nightmare Issi,Compacts,Civilian car,Custom 2-door compact,2 (driver and passenger),Weeny,1089000
Issi,Compacts,Civilian car,2-door convertible,2 (driver and passenger),Weeny,18000
Issi Classic,Compacts,Civilian car,2-door compact,2 (driver and passenger),Weeny,360000
Prairie,Compacts,Civilian car,Sport compact coupé,2 (driver and passenger),Bollokan,25000
Weevil,Compacts,Civillian car,2-door compact,2 (driver and passenger),BF,870000
Baller,SUVs,Civilian SUV,4-door full-size SUV,4 (driver and three passengers),Gallivanter,90000
Baller LE,SUVs,Civilian SUV,4-door full size SUV,4 (driver and three passengers),Gallivanter,149000
Baller LE (Armored),SUVs,Civilian SUV,4-door full size armored SUV,4 (driver and three passengers),Gallivanter,374000
Baller LE LWB,SUVs,Civilian SUV,4-door long-wheelbase SUV,4 (driver and three passengers),Gallivanter,247000
Baller LE LWB (Armored),SUVs,Civilian SUV,4-door long-wheelbase armored SUV,4 (driver and three passengers),Gallivanter,513000
BeeJay XL,SUVs,Civilian car,4-door SUV,4 (driver and three passengers),Karin,27000
FQ 2,SUVs,Civilian SUV,4-door SUV,4 (driver and three passengers),Fathom,50000
Granger,SUVs,Civilian SUV,4-door SUV,"8 (driver, three cab passengers and four passengers hanging on the sides)",Declasse,35000
Gresley,SUVs,Civilian car,4-door SUV,4 (driver and three passengers),Bravado,29000
Huntley S,SUVs,Civilian car,4-door SUV,4 (driver and three passengers),Enus,195000
Landstalker XL,SUVs,Civilian car,4-door SUV,4 (driver and three passengers),Dundreary,1220000
Patriot Stretch,SUVs,Civilian truck,4-door limousine,6 (driver and five passengers),Mammoth,611800
Radius,SUVs,Civilian car,4-door SUV,4 (driver and three passengers),Vapid,32000
Rebla GTS,SUVs,Civilian car,4-door luxury SUV,4 (driver and 3 passengers),Ubermacht,1175000
Rocoto,SUVs,Civilian SUV,4-door SUV,4 (driver and three passengers),Obey,85000
Seminole,SUVs,Civilian car,Four-door mid-size SUV,4 (driver and three passengers),Canis,30000
Seminole Frontier,SUVs,Civilian car,4-door SUV,4 (driver and three passengers),Canis,678000
Toros,SUVs,Civilian SUV,4-door SUV,4 (driver and three passengers),Pegassi,498000
XLS,SUVs,Civilian SUV,4-door SUV,4 (driver and three passengers),Benefactor,253000
XLS (Armored),SUVs,Civilian SUV,Armored 4-door SUV,4 (driver and three passengers),Benefactor,522000
Apocalypse Deathbike,Motorcycles,Civilian vehicle,Custom motorcycle,1 (rider),Western,1269000
Future Shock Deathbike,Motorcycles,Civilian vehicle,Custom motorcycle,1 (rider),Western,1269000
Nightmare Deathbike,Motorcycles,Civilian vehicle,Custom motorcycle,1 (rider),Western,1269000
Avarus,Motorcycles,Civilian vehicle,Chopper,1 (rider),Liberty,116000
Bagger,Motorcycles,Civilian motorcycle,Touring motorcycle,2 (rider and passenger),Western,16000
Chimera,Motorcycles,Civilian vehicle,Chopper-style tricycle,1 (rider),Nagasaki,210000
Cliffhanger,Motorcycles,Civilian motorcycle,Rally motorcycle,2 (driver and passenger),Western,225000
Defiler,Motorcycles,Civilian vehicle,Streetfighter,1 (rider),Shitzu,412000
Diabolus Custom,Motorcycles,Civilian motorcycle,Custom naked street-fighter,1 (rider),Principe,245000
Enduro,Motorcycles,Civilian motorcycle,Off-Road enduro trials motorcycle,2 (rider and passenger),Dinka,48000
Esskey,Motorcycles,Civilian motorcycle,Scrambler,2 (rider and passenger),Pegassi,264000
Faggio Mod,Motorcycles,Civilian vehicle,Two-stroke scooter,2 (rider and passenger),Pegassi,55000
FCR 1000,Motorcycles,Civilian motorcycle,Sports bike,1 (rider),Pegassi,135000
FCR 1000 Custom,Motorcycles,Civilian motorcycle,Café racer,1 (rider),Pegassi,196000
Gargoyle,Motorcycles,Civilian motorcycle,Rally-converted hillclimber,2 (rider and passenger),Western,120000
Nemesis,Motorcycles,Civilian motorcycle,Dual-sport motorcycle,2 (rider and passenger),Principe,12000
Oppressor,Motorcycles,Concept vehicle,Custom motorcycle,1 (rider),Pegassi,3524500
Oppressor Mk II,Motorcycles,Custom motorcycle,Hover bike,1 (rider),Pegassi,3890250
Rampant Rocket,Motorcycles,Civilian vehicle,Hot-rod tricycle,1 (rider),Western,925000
Rat Bike,Motorcycles,Civilian motorcycle,Rat Bike,2 (rider and passenger),Western,48000
Ruffian,Motorcycles,Civilian motorcycle,Roadster bike,2 (rider and passenger),Pegassi,10000
Sanctus,Motorcycles,Civilian motorcycle,Custom Chopper,1 (rider),Liberty,1995000
Shotaro,Motorcycles,Civilian motorcycle,Sports bike,1 (rider),Nagasaki,2225000
Sovereign,Motorcycles,Civilian motorcycle,Roadcruiser,1 (rider),Western,120000
Stryder,Motorcycles,Civilian vehicle,Trike motorcycle,2 (rider and passenger),Nagasaki,670000
Thrust,Motorcycles,Civilian motorcycle,Sport touring bike,2 (rider and passenger),Dinka,75000
Vindicator,Motorcycles,Civilian motorcycle,Sport touring motorcycle,2 (rider and passenger),Dinka,630000
Vortex,Motorcycles,Civilian motorcycle,Streetfighter,1 (rider),Pegassi,356000
Zombie Bobber,Motorcycles,Civilian motorcycle,Bobber,1 (rider),Western,99000
Apocalypse Bruiser,Off-Road,Civilian vehicle,Custom 4-door 6x6 limousine,4 (driver and three passengers),Benefactor,1609000
Future Shock Bruiser,Off-Road,Civilian vehicle,Custom 4-door 6x6 limousine,4 (driver and three passengers),Benefactor,1609000
Nightmare Bruiser,Off-Road,Civilian vehicle,Custom 4-door 6x6 limousine,4 (driver and three passengers),Benefactor,1609000
Apocalypse Brutus,Off-Road,Civilian vehicle,Custom van,2 (driver and passenger),Declasse,2666650
Future Shock Brutus,Off-Road,Civilian vehicle,Custom van,2 (driver and passenger),Declasse,2666650
Nightmare Brutus,Off-Road,Civilian vehicle,Custom van,2 (driver and passenger),Declasse,2666650
Bifta,Off-Road,Civilian car,Buggy,2 (driver and passenger),BF,75000
Blazer,Off-Road,Civilian ATV,Quad bike,1 (rider),Nagasaki,8000
Blazer Aqua,Off-Road,Civilian vehicle,Amphibious quad bike/ATV,1 (driver),Nagasaki,1755600
Bodhi,Off-Road,Civilian pickup truck,2-door pickup truck,"4 (driver, front passenger and two riders in the bed)",Canis,25000
Brawler,Off-Road,Civilian vehicle,Rally Raid modified sports car,2 (driver and passenger),Coil,715000
Caracara,Off-Road,Civilian truck,4-door armed 6x6 pickup truck,"5 (driver, three passengers and gunner)",Vapid,1775000
Caracara 4x4,Off-Road,Civilian truck,4-door pickup truck,4 (driver and three passengers),Vapid,875000
Desert Raid,Off-Road,Civilian vehicle,Trophy truck,2 (driver and passenger),Vapid,695000
Dubsta 6x6,Off-Road,Civilian truck,4-door SUT/pickup truck,6 (driver and five passengers),Benefactor,249000
Dune Buggy,Off-Road,Civilian car,Off-road buggy,2 (driver and passenger),BF,20000
Dune FAV,Off-Road,Civilian vehicle,Fast-attack buggy,2 (driver and gunner),BF,1130500
Everon,Off-Road,Civilian vehicle,4-door offroad truck,4 (driver and 3 passengers),Karin,1475000
Freecrawler,Off-Road,Civilian vehicle,4-door SUV,4 (driver and three passengers),Canis,597000
Hot Rod Blazer,Off-Road,Custom vehicle,Quad bike,1 (rider),Nagasaki,69000
Kalahari,Off-Road,Civilian car,2-door utility truck,2 (driver and passenger),Canis,40000
Kamacho,Off-Road,Civilian car,4-door utility truck,4 (driver and three passengers),Canis,345000
Nightshark,Off-Road,Civilian vehicle,Armored 4-door SUV,4 (driver and three passengers),HVY,1245000
Marshall,Off-Road,Civilian off-road vehicle,Monster truck,2 (driver and passenger),Cheval,250000
Outlaw,Off-Road,Civilian vehicle,2-door UTV,2 (driver and passenger),Nagasaki,1268000
Ramp Buggy,Off-Road,Civilian car,Custom built ramp car,2 (driver and passenger),BF,3192000
Rancher XL,Off-Road,Civilian car,4-door SUV,4 (driver and three passenger),Declasse,9000
Rebel,Off-Road,Civilian truck,2-door pickup truck,2 (driver and passenger),Karin,22000
Rusty Rebel,Off-Road,Civilian truck,2-door pickup truck,2 (driver and passenger),Karin,3000
Sandking XL,Off-Road,Civilian car,4-door pickup truck,4 (driver and three passengers),Vapid,45000
Sandking SWB,Off-Road,Civilian car,2-door pickup truck,2 (driver and passenger),Vapid,38000
Apocalypse Sasquatch,Off-Road,Civilian vehicle,2-door monster truck,2 (driver and passenger),Bravado,1530875
Future Shock Sasquatch,Off-Road,Civilian car,2-door monster truck,2 (driver and passenger),Bravado,1530875
Nightmare Sasquatch,Off-Road,Civilian car,2-door monster truck,2 (driver and passenger),Bravado,1530875
Street Blazer,Off-Road,Civilian vehicle,Quad bike,1 (rider),Nagasaki,81000
Technical Aqua,Off-Road,Civilian truck,Custom amphibious pick-up truck,"3 (driver, passenger and gunner)",Karin,1489600
Technical Custom,Off-Road,Civilian truck,2-door armed pickup truck,"3 (driver, passenger and gunner)",Karin,142500
Trophy Truck,Off-Road,Civilian vehicle,Trophy truck,2 (driver and passenger),Vapid,550000
Liberator,Off-Road,Events/custom vehicle,All-wheel steer monster truck,2 (driver and passenger),Vapid,742014
Vagrant,Off-Road,Civilian car,Off-road buggy,2 (driver and passenger),Maxwell,2214000
Verus,Off-Road,Military ATV,Quad bike,2 (driver and passenger),Dinka,192000
Yosemite Rancher,Off-Road,Civilian vehicle,2-door Pickup truck,2 (driver and passenger),Declasse,700000
